Martin Garcia Giusti,PublicSchool,Toa Baja,3.00,3,0,,
Colegio Puertorriqueño Marinel,PrivateSchool,Toa Baja,3.00,3,0,,
Ernestina Bracero,PublicSchool,Toa Baja,3.00,2,1,,
"Academia Cristiana De Candelaria, Inc.",PrivateSchool,Toa Baja,3.00,2,1,,
Medardo Carazo,PublicSchool,Trujillo Alto,3.00,3,0,,
Andres Valcarcel,PublicSchool,Trujillo Alto,3.00,2,1,,
Apolo San Antonio,PublicSchool,Vega Alta,3.00,3,0,,
Ladislao Martinez,PublicSchool,Vega Alta,3.00,3,0,,
Lino Padron Rivera,PublicSchool,Vega Baja,3.00,2,1,,
Lysander Borrero Terry,PublicSchool,Villalba,3.00,3,0,,
Jose Emilio Lugo,PublicSchool,Adjuntas,2.00,2,0,,
Su Juan B Soto,PublicSchool,Aguada,2.00,2,0,,
Profesora Juana Rosario Carrero,PublicSchool,Aguada,2.00,2,0,,
Salvador Fuentes,PublicSchool,Aguadilla,2.00,2,0,,
Carmen D Ortiz Ortiz(Su Sumidero),PublicSchool,Aguas Buenas,2.00,1,1,,
Escuela Montessori Segunda Unidad Pasto,PublicSchool,Aibonito,2.00,2,0,,
Rafael Pont Flores,PublicSchool,Aibonito,2.00,2,0,,
Federico Degetau II,PublicSchool,Aibonito,2.00,2,0,,
Dra Carmendelia Colon Martinez,PublicSchool,Aibonito,2.00,2,0,,
Academia Adventista Del Norte,PrivateSchool,Arecibo,2.00,2,0,,
Colegio Pentecostal De Arecibo,PrivateSchool,Arecibo,2.00,2,0,,
Libre De Musica,PublicSchool,Arecibo,2.00,2,0,,
Bellas Artes,PublicSchool,Arecibo,2.00,2,0,,
Luis Muñoz Marin,PublicSchool,Arecibo,2.00,0,2,,
"Mas Integrated School, Masis",PrivateSchool,Añasco,2.00,2,0,,
Carmen Casasus Marti,PublicSchool,Añasco,2.00,2,0,,
Fernando Suria Chavez,PublicSchool,Barceloneta,2.00,2,0,,
Vicente Acevedo Ballester,PublicSchool,Barceloneta,2.00,2,0,,
El Farallon,PublicSchool,Barranquitas,2.00,2,0,,
Federico Degetau,PublicSchool,Barranquitas,2.00,2,0,,
Pablo Colon Berdecia,PublicSchool,Barranquitas,2.00,2,0,,
Luis Muñoz Marin,PublicSchool,Barranquitas,2.00,2,0,,
Academia Santo Tomas De Aquino,PrivateSchool,Bayamón,2.00,2,0,,
Centro Preescolar Y Estudios Complementarios N.I.M,PrivateSchool,Bayamón,2.00,2,0,,
Virgilio Dávila,PublicSchool,Bayamón,2.00,2,0,,
Dr. Jose Antonio Davila,PublicSchool,Bayamón,2.00,2,0,,
Dr Jose Padin,PublicSchool,Bayamón,2.00,2,0,,
Faustino Santiago,PublicSchool,Bayamón,2.00,2,0,,
Herminia Rivera Fernandez,PublicSchool,Bayamón,2.00,2,0,,
Papa Juan Xxiii,PublicSchool,Bayamón,2.00,2,0,,
Ludovico Costoso,PublicSchool,Bayamón,2.00,1,1,,
Pablo Casals,PublicSchool,Bayamón,2.00,1,1,,
Julio Ressy,PublicSchool,Bayamón,2.00,1,1,,
Francisco Gaztambide Vega,PublicSchool,Bayamón,2.00,1,1,,
Cabo Rojo Christian Academy,PrivateSchool,Cabo Rojo,2.00,2,0,,
Colegio San Agustin,PrivateSchool,Cabo Rojo,2.00,2,0,,
Head Start Villa Blanca I,Headstart,Caguas,2.00,2,0,,
Academia Cristo De Los Milagros,PrivateSchool,Caguas,2.00,2,0,,
Caguas Learning Academy,PrivateSchool,Caguas,2.00,2,0,,
Colegio Bautista De Caguas,PrivateSchool,Caguas,2.00,2,0,,
Diego Vazquez,PublicSchool,Caguas,2.00,2,0,,
Myrna M Fuentes,PublicSchool,Caguas,2.00,2,0,,
Dr Juan Jose Osuna,PublicSchool,Caguas,2.00,1,1,,
Felipe Rivera Centeno,PublicSchool,Caguas,2.00,1,1,,
Antonio Dominguez Nieves,PublicSchool,Caguas,2.00,1,1,,
Ralph W Emerson,PublicSchool,Camuy,2.00,2,0,,
